Row#,specobjid,ra,dec,class,subclass,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6731_flux,oi_6300_flux
693,299605950799570944,145.70654,0.45938881,GALAXY,,4.728148,6.229174,3.155617,6.318653,98.16421,1.729766
694,299606225207715840,145.72685,0.49792299,GALAXY,,0,0,0,0,0,0
695,299606225677477888,145.6607,0.6338449,GALAXY,,0,6.155806,8.706763,0,0,0
696,299606500085622784,145.79648,0.56150148,GALAXY,STARFORMING,169.4279,42.8554,28.16864,44.77205,30.776,7.307509
697,299606500555384832,145.64564,0.50959376,GALAXY,,53.05276,17.26594,1.087491,7.595903,5.131335,0.3237588
698,299606774963529728,145.72549,0.73065387,GALAXY,,17.65707,1.820007,29.66709,5.106196,12.72517,3.585528
699,299606775433291776,145.73267,0.53403606,GALAXY,,45.17073,16.60044,13.84128,54.12993,8.251519,14.14263
700,299607049841436672,145.73267,0.53403606,GALAXY,,57.52534,9.514073,12.04518,44.33824,13.61919,8.699006
701,299607050311198720,145.79259,0.52472729,GALAXY,STARFORMING,196.0961,43.1407,50.93515,132.1341,36.36559,16.807
702,299607324719343616,145.6519,0.46908714,GALAXY,,133.755,28.0034,6.972032,68.68687,15.13879,4.905841
703,299607325189105664,145.81392,0.48850601,GALAXY,STARFORMING,145.4322,40.73222,9.946052,47.55698,21.93468,4.610031
704,299607599597250560,145.79884,0.6504951,GALAXY,,13.70425,7.324763,2.371178,14.25752,6.311795,18.65824
705,299607600067012608,145.80019,0.41417226,GALAXY,STARFORMING,374.9436,70.19812,49.28839,198.3827,54.95967,19.15328
706,299608149353064448,145.82799,0.19321664,GALAXY,,15.86875,11.51692,-2.006023,5.257584,2.692012,2.225898
707,299608149822826496,145.6519,0.46908714,GALAXY,STARFORMING,133.9608,33.42539,8.712358,75.26357,18.13108,10.53035
708,299608424230971392,145.72946,0.12689565,GALAXY,STARFORMING,234.7746,46.34392,16.65182,83.12309,32.73359,10.58088
709,299608424700733440,145.79648,0.56150148,GALAXY,STARFORMING,198.1381,53.30949,34.14091,51.09724,36.82865,6.055596
