Row#,specobjid,ra,dec,class,subclass,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6731_flux,oi_6300_flux
725,299597978870507520,145.55565,0.18343852,GALAXY,,92.75784,20.88762,5.340964,36.0518,13.86328,9.11404
726,299597979340269568,145.46723,0.27770214,STAR,WD,5.839093,16.04602,9.897099,-17.3072,-0.2136821,2.684616
727,299598253748414464,145.63729,0.37329958,STAR,F9,-14.17542,3.914912,-0.06589752,4.124026,0.1605081,10.20447
728,299598528626321408,145.40905,0.30596715,STAR,A0,1.165719,-5.654279,1.678805,2.076622,1.305983,-5.848319
729,299598529096083456,145.55632,0.23846866,GALAXY,,17.2999,3.598743,-4.532501,8.483975,1.974856,0.3284778
730,299598803973990400,145.54734,0.35561588,GALAXY,,0,0,0,0,0,0
731,299599078382135296,145.55632,0.23846866,GALAXY,,19.2002,1.644889,6.665781,19.45168,9.945575,-0.9979128
732,299599078851897344,145.55565,0.18343852,GALAXY,STARFORMING,96.39385,29.89396,14.3692,47.33845,15.94963,3.958668
733,299599353260042240,145.46723,0.27770214,STAR,WD,9.607911,18.89626,4.416888,-27.22226,-5.377836,-0.1384153
734,299599353729804288,145.43888,0.14695969,GALAXY,,5.120512,2.587523,-1.393871,4.149468,1.606529,-0.2330923
735,299599628137949184,145.89128,1.1165244,GALAXY,STARBURST,3334.863,953.7944,2399.147,441.7446,310.099,77.49841
736,299599628607711232,145.88081,1.0470699,GALAXY,,0,4.276292,0.08385868,0,0,-3.023818
737,299599903015856128,146.01513,0.8235057,GALAXY,AGN,91.34014,25.70342,31.13327,71.05056,29.1194,14.56623
738,299599903485618176,146.06725,1.1094246,GALAXY,,1.708819,-0.6079508,7.978924,10.78618,-8.731503,0.7407377
739,299600177893763072,145.87525,0.91247639,GALAXY,,16.92544,5.92662,12.83879,31.11426,1.228969,5.311231
740,299600178363525120,145.99263,0.78807767,GALAXY,STARFORMING,993.2001,214.1007,107.3838,380.6035,83.85831,13.24785
