Row#;specobjid;ra;dec;class;subclass;h_alpha_flux;h_beta_flux;oiii_5007_flux;nii_6584_flux;sii_6731_flux;oi_6300_flux
1374;300668903296624000.0;14779347.0;.123;GALAXY;;1114699.0;3058928.0;1078418.0;1349576.0;.922;5919239.0
1375;300669178174531000.0;14773989.0;.160;GALAXY;;136433.0;3754874.0;1259471.0;1697254.0;6797697.0;5345383.0
1376;300669453052438000.0;14807759.0;-.127;GALAXY;;.113;-1439685.0;5946352.0;6327175.0;5043612.0;31075.0
1377;300669727930345000.0;14781045.0;.046;GALAXY;STARFORMING;2421171.0;4405736.0;1161989.0;1256245.0;2687576.0;8257575.0
1378;300670002808252000.0;14774868.0;.116;GALAXY;;-.084;2149242.0;2036744.0;1954261.0;-.987;-1694864.0
1379;300670277686159000.0;14777579.0;.054;GALAXY;STARFORMING;1674065.0;4588344.0;1365809.0;5678626.0;2699824.0;5081095.0
1380;300670552564066000.0;14763101.0;-11331063.0;GALAXY;;-52621.330;3515528.0;.658;1878136.0;-1170156.0;-8518415.0
1381;300670827441973000.0;14776976.0;-.824;STAR;T2;.0;.0;.0;.0;.0;.0
1382;300671102319880000.0;1477552.0;-.868;GALAXY;;1605168.0;1226515.0;1993388.0;-1633429.0;2160817.0;-.930
1383;300671377197787000.0;14787054.0;-.958;GALAXY;STARFORMING;3638727.0;6471584.0;1392556.0;1372156.0;3279408.0;8128525.0
