Row#,specobjid,ra,dec,class,subclass,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,sii_6731_flux,oi_6300_flux
10464,318658568683284480,176.88747,-0.5625923,GALAXY,,0,0.1120628,1.164004,0,0,0.575709
10465,318659118439098368,176.92615,-0.76168917,GALAXY,,5.104984,-2.511435,1.96322,4.147947,1.069228,-0.5190234
10466,318659393317005312,176.92584,-0.66009324,GALAXY,,7.206645,4.469583,3.317166,3.03631,0.3272757,-1.049625
10467,318659668194912256,176.93642,-0.71186872,GALAXY,,63.84844,13.49491,4.901363,25.3974,12.91467,1.025077
10468,318659943072819200,176.90222,-0.75354697,GALAXY,,151.8883,32.68693,5.767437,65.19366,18.73124,7.328326
10469,318660217950726144,176.86291,-0.68178688,GALAXY,,-1.195084,-1.866625,3.003121,0.8667891,0.08628879,-2.327666
10470,318660492828633088,176.72553,-0.28464906,GALAXY,,2.191802,0.08467071,2.231625,4.556983,-4.448185,-0.103386
10471,318660767706540032,176.75302,-0.29424581,GALAXY,STARBURST,1591.731,422.4197,1086.736,152.9268,144.7985,26.76343
10472,318661042584446976,176.87324,-0.81648759,GALAXY,,7.311779,2.043994,3.693265,0.9617273,-0.4929138,-2.012499
10473,318661317462353920,176.9022,-0.43648923,GALAXY,,34.84452,6.59859,9.901388,30.74295,8.648575,2.333126
10474,318662142096074752,176.92815,-0.62891867,GALAXY,,20.86803,9.561497,14.78583,-4.869767,-2.975184,-2.91436
10475,318662416973981696,176.69239,-0.45889421,GALAXY,,92.47909,16.74689,3.898639,44.18433,12.84647,5.239552
10476,318662691851888640,176.76912,-0.30202549,GALAXY,,2.466142,-0.7465467,0.1856555,5.882401,-0.464577,-0.01715854
10477,318663241607702528,176.13123,-1.1809595,GALAXY,STARFORMING,347.4769,69.20657,33.77647,159.4795,49.77282,12.72004
10478,318663791363516416,176.10548,-1.1347812,GALAXY,STARFORMING,57.98754,11.5355,8.777302,37.59524,11.52477,4.138925
10479,318664066241423360,176.25835,-1.1783492,GALAXY,STARBURST,276.0351,56.59785,15.94087,97.95861,30.85149,6.553045
10480,318664615997237248,176.1419,-1.1391109,GALAXY,,56.83931,15.81736,12.46163,15.81289,-5.308583,4.323568
10481,318664890875144192,176.16031,-1.0672529,GALAXY,STARBURST,442.5144,106.3302,69.93301,133.2758,60.71649,12.81509
10482,318665165753051136,176.20166,-1.1585227,GALAXY,AGN,78.70827,22.5532,28.65647,57.58764,26.82934,15.69093
10483,318665440630958080,176.18628,-1.0923555,GALAXY,,0,0.123716,5.654632,0,0,-4.243501
10484,318665715508865024,176.19016,-0.9274409,GALAXY,,10.97272,6.03792,7.108055,9.253082,6.402014,1.352622
10485,318665990386771968,176.15645,-0.96300705,GALAXY,,11.31426,3.704151,5.230549,7.943665,3.222773,1.554212
10486,318667089898399744,176.13154,-0.98763553,GALAXY,STARFORMING,221.8167,47.21114,10.92231,80.36927,25.4006,7.371277
10487,318667364776306688,176.17045,-1.1541552,GALAXY,,13.49696,4.128428,6.088557,11.12838,1.990909,3.844822
