fnu_12,fnu_60,rat_25_60,ra,dec
1.12,0.56,0.4464,127.3842,55.0115
0.25,0.66,0.3939,127.2749,38.2380
0.25,1.12,0.2232,127.3422,43.3581
0.29,0.73,0.3425,127.2262,0.6228
0.27,0.44,0.7955,127.3612,30.4223
0.25,0.45,0.5556,127.1999,-27.7184
0.25,2.13,0.0986,127.1520,-37.2195
0.25,2.31,0.1212,127.3918,1.2019
0.25,1.52,0.2763,127.5627,-2.8816
0.25,0.60,0.7333,127.6629,20.6002
0.25,0.41,0.6098,125.1021,-84.9817
0.25,4.80,0.1458,128.1160,52.6058
0.25,0.45,0.5556,127.7082,-30.5974
1.29,0.50,0.7200,128.0067,24.0139
0.29,0.50,0.7800,127.9915,19.2095
0.25,0.59,0.4237,128.7549,75.1402
0.25,0.75,0.4267,128.0462,22.5604
0.25,0.85,0.2941,127.5282,-64.9960
0.25,0.90,0.2778,128.3448,52.5330
0.27,0.43,1.1163,128.1688,9.7773
0.25,0.69,0.3768,128.3438,41.2581
0.25,0.44,0.5682,128.1997,0.2221
0.25,1.31,0.3053,128.3504,29.5365
0.39,1.46,0.1712,128.1696,-24.0413
0.25,1.79,0.1788,127.9290,-59.7809
0.40,1.69,0.1598,129.3526,78.0250
0.25,1.60,0.1125,127.9642,-59.7800
0.25,1.66,0.4759,128.4452,-4.6547
0.25,0.95,0.2632,128.6753,38.3546
0.25,0.76,0.3289,128.7215,44.6375
0.47,0.49,0.6939,128.6356,29.9254
0.25,0.67,0.3731,130.8560,84.6340
0.68,0.31,1.7419,128.7871,39.6653
0.25,1.00,0.2500,128.6348,1.6657
0.25,1.01,0.2772,128.7954,37.2657
0.28,1.58,0.3101,129.1741,66.2324
0.25,2.53,0.1383,128.9121,46.4926
0.25,0.80,0.3125,128.6754,-4.2739
0.25,2.30,0.1087,128.8201,28.4739
0.25,2.58,0.0698,128.5951,-31.8202
0.32,1.09,0.2294,128.5273,-47.2760
0.31,0.65,0.4615,128.8941,30.5336
