galname;fnu_12;fnu_25;fnu_60;fnu_100;rat_12_25;rat_25_60;rat_60_100;ra;dec
22151+4822;37;25;108;220;14800;2315;4909;3342809;486172
22159+0401;25;28;193;440;8929;1451;4386;3346286;42770
22161+4018;25;36;301;504;6944;1196;5972;3345724;405630
11555+2809;25;42;363;671;5952;1157;5410;1795215;278769
11557-5051;33;25;76;222;13200;3289;3423;1795749;-511359
11562+1559;25;58;77;158;4310;7532;4873;1796953;157169
11563+3041;25;25;96;247;10000;2604;3887;1797386;304100
11571-2041;38;25;41;143;15200;6098;2867;1799320;-209715
11573+7631;111;51;40;100;21765;12750;4000;1799918;762434
11585-2417;30;25;72;177;12000;3472;4068;1802722;-245651
11585-4227;25;28;128;336;8929;2188;3810;1802809;-427448
11596+6224;82;140;1387;3149;5857;1009;4405;1805502;621364
11597+0437;25;31;76;180;8065;4079;4222;1805726;43402
12003-1605;25;25;70;349;10000;3571;2006;1807204;-163726
12005+4448;77;140;828;2094;5500;1691;3954;1807880;445317
12012+0429;30;43;41;131;6977;10488;3130;1809546;42202
12015+3210;26;30;253;1103;8667;1186;2294;1810152;318958
12021+3126;25;38;286;586;6579;1329;4881;1811827;311689
12022-0206;30;44;157;452;6818;2803;3473;1812058;-23828
12030+5049;50;113;1721;5172;4425;657;3328;1813913;505403
12030+0916;31;37;52;172;8378;7115;3023;1814069;89972
12034+4745;25;31;405;2030;8065;765;1995;1815031;474790
12035-2234;25;31;66;136;8065;4697;4853;1815310;-228531
12040-4704;25;25;64;202;10000;3906;3168;1816664;-473478
12041-2803;28;25;46;141;11200;5435;3262;1816704;-283314
12045-3955;25;25;248;654;10000;1008;3792;1817908;-402075
12045+1716;26;58;341;731;4483;1701;4665;1817872;169967
12050+6042;25;25;43;110;10000;5814;3909;1818970;604340
12051+1734;26;28;58;87;9286;4828;6667;1819299;172959
12063+7510;22;60;464;1009;3667;1293;4599;1822039;749046
12063-3625;30;44;276;509;6818;1594;5422;1822472;-367033
12074+7801;25;25;44;151;10000;5682;2914;1824478;777411
12074+4644;25;25;144;385;10000;1736;3740;1824961;464577
12085+7624;25;29;87;179;8621;3333;4860;1827195;761228
12085-3050;25;25;103;219;10000;2427;4703;1827803;-311268
12097-5210;25;30;104;293;8333;2885;3549;1830951;-524609
12098+2905;25;25;97;201;10000;2577;4826;1831011;288175
12106+1634;25;31;64;187;8065;4844;3422;1832901;162953
12106+3252;43;45;103;135;9556;4369;7630;1832868;325959
12115-4657;39;70;557;804;5571;1257;6928;1835533;-472286
12116+6623;148;40;40;100;37000;10000;4000;1835243;661091
12125+6403;25;25;189;440;10000;1323;4295;1837370;637786
12125+3328;50;25;64;211;20000;3906;3033;1837663;331991
12130+2211;25;68;148;179;3676;4595;8268;1838845;219166
12130+2206;35;30;111;230;11667;2703;4826;1838911;218338
12134+5459;25;25;66;142;10000;3788;4648;1839716;547089
12134+2743;25;25;90;161;10000;2778;5590;1839988;274405
12143+4743;25;25;79;238;10000;3165;3319;1842045;474459
12143-2555;25;40;348;706;6250;1149;4929;1842441;-262097
12150+7105;25;24;212;505;10417;1132;4198;1843441;708088
12485+4123;278;348;5607;10519;7989;621;5330;1927206;411210
12485+2911;39;25;44;144;15600;5682;3056;1927552;289265
12492+2602;25;59;182;439;4237;3242;4146;1929357;257742
12493+7735;25;33;462;822;7576;714;5620;1927046;773152
12498-0055;30;45;264;826;6667;1705;3196;1930918;-12004
12498-3845;24;36;285;750;6667;1263;3800;1931626;-390290
12504+2838;25;48;190;522;5208;2526;3640;1932231;283712
12504-2711;28;66;492;738;4242;1341;6667;1932950;-274639
12509-2601;25;29;72;181;8621;4028;3978;1933974;-262929
12511-0621;42;32;360;1021;13125;889;3526;1934404;-66234
12522-4041;26;25;68;196;10400;3676;3469;1937510;-409675
12522-0958;25;30;271;570;8333;1107;4754;1937176;-102489
12526+0310;25;44;113;287;5682;3894;3937;1937964;29048
12526-0750;104;37;73;224;28108;5068;3259;1938094;-81207
12535-2914;25;25;170;399;10000;1471;4261;1940536;-295038
12535-0753;32;81;60;122;3951;13500;4918;1940383;-81583
12542-0815;85;387;2026;2655;2196;1910;7631;1942039;-85256
12542+0611;56;35;114;170;16000;3070;6706;1941940;59147
12547-4928;25;25;92;377;10000;2717;2440;1944001;-497507
12547-5307;25;25;110;275;10000;2273;4000;1944191;-533929
00548-6344;40;25;69;148;16000;3623;4662;142131;-634792
00548+4331;25;108;911;1442;2315;1186;6318;144181;437919
00548+4325;64;25;47;113;25600;5319;4159;144225;436975
00549+3304;43;25;43;153;17200;5814;2810;144196;333506
00551-0513;25;44;160;313;5682;2750;5112;144288;-49480
00553-0241;30;31;69;149;9677;4493;4631;144776;-24281
00553-2746;25;45;62;295;5556;7258;2102;144471;-275003
00553-4910;69;63;43;137;10952;14651;3139;144086;-488985
00563+2334;25;27;64;145;9259;4219;4414;147469;238513
00563-2106;27;55;237;337;4909;2321;7033;146916;-208408
00564-3523;42;42;64;187;10000;6562;3422;147034;-351172
00566+0639;25;35;53;134;7143;6604;3955;148202;69234
00568-1830;25;47;141;414;5319;3333;3406;148321;-182343
00569+1834;44;28;40;173;15714;7000;2312;148994;188405
