galname,fnu_12,fnu_25,fnu_60,fnu_100,rat_12_25,rat_25_60,rat_60_100,ra,dec
01400-1633,0.25,0.25,1.82,4.40,1.0000,0.1374,0.4136,25.6068,-16.2994
01401+0749,0.29,0.31,0.66,1.22,0.9355,0.4697,0.5410,25.6902,8.0743
01402-4746,0.42,0.25,0.60,1.31,1.6800,0.4167,0.4580,25.5737,-47.5274
01403+1323,2.01,7.09,65.39,103.74,0.2835,0.1084,0.6303,25.7594,13.6461
01406+0838,0.27,0.36,0.74,1.65,0.7500,0.4865,0.4485,25.8099,8.8896
01409+8500,0.25,0.44,2.58,3.22,0.5682,0.1705,0.8012,27.3141,85.2593
01410-4427,0.25,0.28,2.46,6.82,0.8929,0.1138,0.3607,25.7768,-44.2148
01410-3427,0.26,0.37,2.91,5.96,0.7027,0.1271,0.4883,25.8228,-34.2065
01412+1648,0.44,0.27,0.67,1.25,1.6296,0.4030,0.5360,25.9819,17.0621
01412-3343,0.28,0.57,0.40,0.87,0.4912,1.4250,0.4598,25.8682,-33.4738
01413-7923,1.04,0.21,0.40,1.63,4.9524,0.5250,0.2454,25.3382,-79.1478
01413-3357,0.45,0.61,0.90,1.95,0.7377,0.6778,0.4615,25.9012,-33.7056
01413+0205,0.29,0.80,1.27,1.26,0.3625,0.6299,1.0079,25.9937,2.3506
01415-6243,0.83,0.32,0.60,1.56,2.5938,0.5333,0.3846,25.7845,-62.4680
01416+1713,0.25,0.26,0.84,2.02,0.9615,0.3095,0.4158,26.0863,17.4777
01416+3726,0.25,0.39,2.13,4.59,0.6410,0.1831,0.4641,26.1467,37.6962
23531+2955,0.45,0.39,0.70,1.00,1.1538,0.5571,0.7000,358.9326,30.2099
23532+2513,0.25,0.25,1.36,4.09,1.0000,0.1838,0.3325,358.9571,25.5013
23534-6057,0.25,0.25,0.88,2.42,1.0000,0.2841,0.3636,359.0187,-60.6727
23535+0016,0.25,0.28,0.65,1.94,0.8929,0.4308,0.3351,359.0298,0.5467
23535-0111,0.25,0.48,1.05,2.83,0.5208,0.4571,0.3710,359.0329,-0.9144
23536+2906,0.27,0.65,0.44,1.65,0.4154,1.4773,0.2667,359.0385,29.3908
23541+1329,0.26,0.25,0.71,1.78,1.0400,0.3521,0.3989,359.1714,13.7747
23542+0104,0.25,0.32,0.53,1.77,0.7812,0.6038,0.2994,359.1981,1.3564
23544-3457,0.42,0.25,0.53,1.57,1.6800,0.4717,0.3376,359.2493,-34.6844
23548+3043,0.89,0.30,0.45,1.46,2.9667,0.6667,0.3082,359.3541,31.0017
23548+1801,0.44,0.39,1.23,2.02,1.1282,0.3171,0.6089,359.3633,18.3106
23550-2216,0.25,0.30,0.40,1.69,0.8333,0.7500,0.2367,359.3975,-21.9949
23552-3252,0.30,0.39,5.67,33.39,0.7692,0.0688,0.1698,359.4526,-32.5905
23553-1418,0.25,0.94,0.65,1.56,0.2660,1.4462,0.4167,359.4830,-14.0380
23555+4734,0.66,0.25,0.50,0.85,2.6400,0.5000,0.5882,359.5361,47.8511
23560+1026,0.32,0.58,3.13,7.11,0.5517,0.1853,0.4402,359.6409,10.7278
23566-0424,0.25,0.34,0.98,1.83,0.7353,0.3469,0.5355,359.7950,-4.1272
23567+4636,0.25,0.25,1.23,4.16,1.0000,0.2033,0.2957,359.8139,46.8894
23567+0428,0.25,0.30,0.87,1.77,0.8333,0.3448,0.4915,359.8301,4.7606
23568+2028,0.32,0.64,5.06,10.03,0.5000,0.1265,0.5045,359.8557,20.7498
23570-0246,0.27,0.36,0.86,2.00,0.7500,0.4186,0.4300,359.8979,-2.4980
23570+1431,1.04,0.32,1.36,2.64,3.2500,0.2353,0.5152,359.9089,14.8103
23571-3444,0.28,0.52,0.48,1.65,0.5385,1.0833,0.2909,359.9254,-34.4624
23574+4659,0.25,0.25,0.48,2.05,1.0000,0.5208,0.2341,0.0078,47.2775
23576+0050,0.43,0.82,0.40,1.12,0.5244,2.0500,0.3571,0.0607,1.1228
23577-8104,0.25,0.25,0.64,2.34,1.0000,0.3906,0.2735,0.0894,-80.7938
23579+3230,0.25,0.25,0.67,0.91,1.0000,0.3731,0.7363,0.1238,32.7850
23579+2602,0.42,0.25,1.07,2.14,1.6800,0.2336,0.5000,0.1311,26.3236
23587+1249,0.25,0.36,2.10,4.33,0.6944,0.1714,0.4850,0.3349,13.1109
23589+1104,0.25,0.40,0.87,1.86,0.6250,0.4598,0.4677,0.3757,11.3453
23590+3316,0.41,0.45,0.47,1.16,0.9111,0.9574,0.4052,0.4001,33.5611
23591+2312,0.38,0.67,5.47,14.29,0.5672,0.1225,0.3828,0.4234,23.4945
23594+3622,0.25,0.37,5.00,5.72,0.6757,0.0740,0.8741,0.4926,36.6495
23594-3344,0.25,0.34,0.92,1.99,0.7353,0.3696,0.4623,0.5101,-33.4696
23596+0239,0.25,0.31,1.73,3.18,0.8065,0.1792,0.5440,0.5424,2.9428
23597+1241,0.25,0.44,3.29,7.12,0.5682,0.1337,0.4621,0.5789,12.9712
00000-0359,0.25,0.33,1.21,2.49,0.7576,0.2727,0.4859,0.6448,-3.7105
00001+0827,0.25,0.28,0.70,1.19,0.8929,0.4000,0.5882,0.6663,8.7373
00010+2255,0.25,0.25,0.74,3.64,1.0000,0.3378,0.2033,0.8969,23.2003
00012+0712,0.25,0.26,0.65,2.43,0.9615,0.4000,0.2675,0.9532,7.4792
00025-0405,0.25,1.05,1.87,3.34,0.2381,0.5615,0.5599,1.2787,-3.8072
00027-1645,0.33,0.40,2.58,6.59,0.8250,0.1550,0.3915,1.3168,-16.4794
00042+0821,1.34,0.49,0.71,2.56,2.7347,0.6901,0.2773,1.7075,8.6294
00042+0804,0.44,0.58,0.60,2.24,0.7586,0.9667,0.2679,1.7096,8.3450
00055+2643,0.38,0.25,1.43,3.11,1.5200,0.1748,0.4598,2.0445,27.0041
00059-0529,0.31,0.35,0.80,1.43,0.8857,0.4375,0.5594,2.1399,-5.2209
00073+2630,0.25,0.25,0.42,1.41,1.0000,0.5952,0.2979,2.4713,26.7918
03196+3651,0.25,0.25,0.45,1.87,1.0000,0.5556,0.2406,50.7251,37.0344
03197-4345,0.39,0.25,0.42,1.24,1.5600,0.5952,0.3387,50.3724,-43.5821
03201-1721,0.25,0.59,0.40,0.66,0.4237,1.4750,0.6061,50.6207,-17.1795
03202-0001,0.25,0.28,0.43,1.34,0.8929,0.6512,0.3209,50.6925,0.1476
03202-5150,0.25,0.51,0.59,1.00,0.4902,0.8644,0.5900,50.4216,-51.6571
03203-0214,0.70,0.29,0.40,1.03,2.4138,0.7250,0.3883,50.7134,-2.0589
03206+3830,0.25,0.25,0.64,1.81,1.0000,0.3906,0.3536,50.9738,38.6768
03207+3734,0.25,0.33,3.33,7.14,0.7576,0.0991,0.4664,50.9933,37.7556
03208-3723,0.29,0.29,3.08,7.69,1.0000,0.0942,0.4005,50.6775,-37.2071
03208-3716,0.35,0.27,3.58,9.70,1.2963,0.0754,0.3691,50.6861,-37.1024
03211+3951,1.13,0.44,0.40,1.33,2.5682,1.1000,0.3008,51.1086,40.0430
03211-4221,0.25,0.17,1.02,1.81,1.4706,0.1667,0.5635,50.7348,-42.1862
03211+1600,0.25,0.30,1.72,4.11,0.8333,0.1744,0.4185,50.9986,16.1824
03213+4147,0.26,0.25,1.48,3.66,1.0400,0.1689,0.4044,51.1827,41.9702
03216+7240,0.28,0.25,0.45,1.32,1.1200,0.5556,0.3409,51.7484,72.8462
03220-3741,0.25,0.25,0.52,1.57,1.0000,0.4808,0.3312,50.9754,-37.5096
03220-3638,0.27,0.79,8.31,14.30,0.3418,0.0951,0.5811,50.9879,-36.4635
